,0
0,1
1,1
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,0
10,1
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,1
23,1
24,0
25,1
26,0
27,0
28,0
29,0
30,1
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,1
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,1
54,0
55,1
56,0
57,0
58,1
59,0
60,0
61,1
62,1
63,1
64,1
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,1
73,0
74,1
75,1
76,0
77,0
78,0
79,1
80,1
81,0
82,0
83,1
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,1
93,0
94,0
95,0
96,1
97,1
98,0
99,0
100,1
101,1
102,0
103,0
104,1
105,0
106,1
107,1
108,0
109,0
110,0
111,1
112,0
113,1
114,1
115,1
116,1
117,0
118,1
119,0
120,0
121,0
122,1
123,1
124,1
125,1
126,1
127,1
128,0
129,1
130,0
131,0
132,1
133,1
134,0
135,0
136,0
137,1
138,0
139,1
140,0
141,0
142,0
143,1
144,1
145,1
146,0
147,0
148,0
149,0
150,0
151,1
152,0
153,0
154,1
155,0
156,0
157,0
158,0
159,1
160,0
161,0
162,0
163,0
164,0
165,1
166,0
167,0
168,0
169,0
170,1
171,0
172,0
173,0
174,0
175,0
176,1
177,1
178,1
179,0
180,1
181,1
182,0
183,0
184,0
185,0
186,1
187,1
188,0
189,0
190,1
191,0
192,0
193,0
194,1
195,1
196,1
197,1
198,0
199,0
200,0
201,1
202,0
203,0
204,1
205,0
206,0
207,0
208,1
209,0
210,0
211,0
212,0
213,1
214,0
215,0
216,0
217,0
218,0
219,0
220,1
221,0
222,0
223,1
224,1
225,0
226,0
227,1
228,0
229,1
230,0
231,0
232,0
233,1
234,0
235,0
236,0
237,0
238,0
239,1
240,1
241,1
242,0
243,1
244,0
245,1
246,0
247,0
248,0
249,1
250,1
251,1
252,0
253,1
254,0
255,0
256,1
257,0
258,0
259,0
260,1
261,0
262,1
263,1
264,1
265,0
266,0
267,0
268,1
269,0
270,0
271,1
272,0
273,0
274,1
275,1
276,0
277,0
278,0
279,0
280,1
281,0
282,1
283,0
284,0
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,0
293,0
294,1
295,0
296,1
297,1
298,0
299,0
300,1
301,1
302,0
303,0
304,1
305,0
306,1
307,0
308,0
309,0
310,1
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,1
324,1
325,1
326,0
327,1
328,1
329,0
330,1
331,1
332,0
333,0
334,0
335,1
336,1
337,0
338,1
339,0
340,0
341,1
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,1
352,0
353,0
354,1
355,0
356,0
357,0
358,1
359,0
360,0
361,0
362,0
363,1
364,1
365,1
366,0
367,0
368,0
369,1
370,0
371,1
372,1
373,1
374,0
375,1
376,0
377,0
378,1
379,0
380,0
381,0
382,0
383,1
384,0
385,0
386,1
387,1
388,0
389,0
390,0
391,1
